,1-Jan,2-Jan,3-Jan,4-Jan,5-Jan,6-Jan,7-Jan,8-Jan,9-Jan,10-Jan,11-Jan,12-Jan,13-Jan,14-Jan,15-Jan,16-Jan,17-Jan,18-Jan,19-Jan,20-Jan,21-Jan,22-Jan,23-Jan,24-Jan,25-Jan,26-Jan,27-Jan,28-Jan,29-Jan,30-Jan,31-Jan,1-Feb
2000,Partly Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Partly Cloudy,Mostly Cloudy,Mostly Sunny,Cloudy,Cloudy,Cloudy,Mostly Sunny,Cloudy,Mostly Sunny,Mostly Sunny,Cloudy,Mostly Cloudy ,Mostly Sunny,Mostly Sunny,Cloudy,Cloudy,Mostly Sunny,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Mostly Sunny,Mostly Sunny,Mostly Cloudy,Cloudy,Mostly Sunny
2001,Mostly Sunny,Mostly Sunny,Mostly Cloudy ,Tornado,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Mostly Sunny,Cloudy,Mostly Sunny,Mostly Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Mostly Sunny,Partly Cloudy,Cloudy,Partly Cloudy,Mostly Sunny,Cloudy,Mostly Sunny,Mostly Sunny,Cloudy,Cloudy,Cloudy
2002,Mostly Sunny,Mostly Sunny,Partly Cloudy,Mostly Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Mostly Cloudy,Cloudy,Cloudy,Cloudy,Mostly Cloudy,Cloudy,Mostly Cloudy ,Cloudy,Mostly Cloudy,Cloudy,Cloudy,Cloudy,Mostly Sunny,Cloudy,Cloudy,Cloudy,Cloudy,Mostly Cloudy,Cloudy ,Cloudy,Cloudy,Cloudy,Cloudy
2003,cloudy,cloudy,cloudy,cloudy,cloudy,cloudy,cloudy,cloudy,cloudy,cloudy,mostly sunny,mostly sunny,cloudy,Mostly Sunny,cloudy,cloudy,Cloudy,Mostly Sunny,Cloudy,Cloudy,mostly sunny,Mostly Sunny,Cloudy,mostly sunny,partly cloudy,cloudy,cloudy,partly cloudy,Cloudy,Cloudy,Cloudy,Cloudy
2004,mostly cloudy,cloudy,cloudy,cloudy,cloudy,cloudy,mostly sunny,mostly sunny,mostly sunny,mostly sunny,cloudy,cloudy,cloudy,cloudy,cloudy,mostly sunny,mostly sunny,Cloudy,mostly cloudy,mostly cloudy,mostly cloudy,cloudy,mostly cloudy,mostly sunny,mostly sunny,Cloudy,Cloudy,Cloudy,mostly cloudy,mostly sunny,cloudy,Mostly Sunny
2005,Mostly Sunny,cloudy,cloudy,cloudy,cloudy,cloudy,cloudy,cloudy,cloudy,cloudy,cloudy,cloudy,cloudy,cloudy,cloudy,cloudy,cloudy,Mostly Sunny,Cloudy,Cloudy,mostly sunny,cloudy,Cloudy,mostly sunny,Cloudy,Cloudy,Cloudy,Mostly Sunny,Mostly Sunny,Mostly Cloudy,mostly sunny,Mostly Sunny
2006,cloudy,cloudy,cloudy,cloudy,cloudy,cloudy,mostly sunny,Cloudy,Cloudy,Mostly Sunny,Cloudy,Mostly Cloudy,Cloudy,Cloudy,Cloudy,mostly sunny,Cloudy,Cloudy,Mostly Sunny,Cloudy,Cloudy,mostly cloudy,Cloudy,mostly sunny,Cloudy,Cloudy,mostly sunny,Mostly Sunny,Cloudy,Cloudy,Cloudy,Cloudy
2007,cloudy,Mostly Sunny,Partly Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,mostly sunny,Mostly Sunny,mostly cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,mostly sunny,Mostly Cloudy,Mostly Sunny,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,mostly sunny,Mostly Sunny,Cloudy,Cloudy,Mostly Sunny,Mostly Sunny,Mostly Sunny,Cloudy
2008,cloudy,cloudy,mostly sunny,Mostly Cloudy,mostly cloudy,Cloudy,Cloudy,mostly cloudy,mostly cloudy,Cloudy,Cloudy,Mostly Cloudy,Mostly Cloudy,Cloudy,Cloudy,mostly sunny,Cloudy,Cloudy,Cloudy,Cloudy,mostly sunny,cloudy,mostly sunny,Cloudy,mostly sunny,mostly cloudy,Cloudy,Cloudy,Cloudy,Cloudy,mostly sunny,Cloudy
2009,Mostly Sunny,Cloudy,mostly sunny,Mostly Sunny,Cloudy,Partly Cloudy,Cloudy,Cloudy,mostly sunny,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,mostly sunny,mostly sunny,Cloudy,Cloudy,Cloudy,Cloudy,partly cloudy,Cloudy,Cloudy,Partly Cloudy,mostly cloudy,Cloudy,cloudy,Mostly Sunny,Mostly Sunny,Mostly Sunny,Cloudy
2010,cloudy,cloudy,cloudy,cloudy,cloudy,Partly Cloudy,Mostly Cloudy,Cloudy,mostly sunny,partly cloudy,partly cloudy,Cloudy,Cloudy,partly cloudy,Mostly Sunny,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,mostly sunny,cloudy,mostly sunny,Cloudy,Cloudy,Cloudy,mostly sunny,Cloudy,Mostly Sunny,Cloudy,partly cloudy,Mostly Sunny
2011,cloudy,Cloudy,Mostly Cloudy ,Mostly Cloudy ,Mostly Cloudy ,Mostly Cloudy ,Cloudy,Cloudy,Cloudy,Mostly Sunny,Cloudy,Cloudy,mostly sunny,Cloudy,Cloudy,mostly sunny,partly cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Partly Cloudy,mostly cloudy,Cloudy,Cloudy,Cloudy,mostly cloud,Cloudy,Cloudy,mostly cloudy,Cloudy
2012,cloudy,partly cloudy,Mostly Cloudy ,partly cloudy,Cloudy,Cloudy,mostly sunny,mostly cloudy,mostly cloudy,Cloudy,mostly cloudy,Cloudy,Cloudy,partly cloudy,Mostly Sunny,Cloudy,Cloudy,Mostly Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,mostly cloudy,cloudy,cloudy,mostly cloud,partly cloudy,partly cloudy,Cloudy,Cloudy
2013,Partly Cloudy,mostly cloudy,partly cloudy,Mostly Cloudy,mostly cloudy,Cloudy,mostly sunny,mostly cloudy,Cloudy,partly cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Mostly Cloudy ,Mostly Sunny,mostly cloudy,partly cloudy,cloudy,cloudy,mostly sunny,partly cloudy,mostly cloudy,Cloudy,mostly sunny,Cloudy,Cloudy,Cloudy,Cloudy,Partly Cloudy
2014,mostly cloudy,Cloudy,Cloudy,partly cloudy,Cloudy,Cloudy,mostly sunny,mostly sunny,mostly sunny,Cloudy,Cloudy,Mostly Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Partly Cloudy,mostly sunny,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,mostly sunny,Cloudy,Cloudy
2015,Mostly Sunny,partly cloudy,snow,scattered showers,partly cloudy,snow,partly cloudy,Mostly Sunny,Cloudy,mostly sunny,Cloudy,scattered showers,partly cloudy,Cloudy,snow,Mostly Cloudy ,mostly sunny,Cloudy,partly cloudy,partly cloudy,Cloudy,cloudy,mostly sunny,snow,Partly Cloudy,snow,snow,snow,partly cloudy,snow,snow,Partly Cloudy
2016,cloudy,partly cloudy,mostly sunny,snow,mostly sunny,mostly sunny,mostly sunny,Cloudy,Cloudy,scattered showers,mostly sunny,Cloudy,mostly sunny,partly cloudy,cloudy,scattered showers,snow,snow,Cloudy,Cloudy,mostly sunny,cloudy,snow,Cloudy,mostly sunny,Cloudy,Cloudy,most,Cloudy,Cloudy,Cloudy,Cloudy
2017,cloudy,Cloudy,scattered showers,Cloudy,Cloudy,Cloudy,snow,Mostly Sunny,mostly sunny,scattered showers,Cloudy,scattered showers,mostly sunny,Cloudy,mostly Sunny,mostly sunny,Scattered Showers,scattered showers,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,scattered showers,Cloudy,Cloudy,Mostly Cloudy,cloudy,mostly cloudy,Mostly Cloudy,snow,Snow
2018,Mostly Sunny,Mostly Sunny,Cloudy,snow,blowing snow,mostly sunny,mostly sunny,Cloudy,partly cloudy,Mostly Sunny,mostly cloudy,scattered showers,Scattered Showers,mostly cloudy,Cloudy,Cloudy,snow,mostly sunny,cloudy,mostly cloudy,partly cloudy,cloudy,scattered showers,partly cloudy,mostly sunny,mostly sunny,Cloudy,Cloudy,Cloudy,snow,mostly sunny,Cloudy
2019,scattered showers,Cloudy,Cloudy,Cloudy,scattered showers,Mostly Cloudy ,mostly sunny,foggy,scattered showers,cloudy,mostly sunny,mostly sunny,Cloudy,Cloudy,mostly cloudy,mostly sunny,Cloudy,Cloudy,snow,rain,snow,Mostly Sunny,cloudy,rain,partly cloudy,partly cloudy,Cloudy,Cloudy,Cloudy,snow,mostly sunny,Mostly Cloudy
2020,Partly Cloudy,Cloudy,Cloudy,scattered showers,snow,Mostly Cloudy ,Cloudy,snow,mostly sunny,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,scattered showers,mostly sunny,snow,cloudy,mostly sunny,mostly sunny,mostly sunny,Cloudy,mostly cloudy,Cloudy,Cloudy,Mostly Cloudy,Cloudy,mostly sunny,mostly sunny,mostly cloudy,Cloudy
2021,cloudy,Scattered Showers,Cloudy,Cloudy,Cloudy,Mostly Cloudy ,Cloudy,mostly sunny,Cloudy,mostly sunny,Cloudy,Mostly Cloudy,Cloudy,scattered showers,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,Cloudy,mostly sunny,mostly sunny,mostly sunny,snow,snow,snow,mostly cloudy,mostly sunny,Cloudy,Snow
2022,Foggy,Scattered Showers,Cloudy,Mostly Sunny,Cloudy,Cloudy,Snow,Mostly Sunny,Cloudy,Mostly Sunny,Mostly Sunny,Mostly Cloudy,Cloudy,Cloudy,Mostly Sunny,Cloudy,Scattered Showers,Mostly Sunny,mostly cloudy,scattered showers,mostly cloudy,snow,mostly cloudy,snow,snow,Mostly Sunny,Mostly Cloudy,Cloudy,snow,mostly sunny,mostly sunny,Cloudy